Alderman,Committee,Start,End,
"u'Waguespack, Scott'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Zalewski, Michael R.'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Zalewski, Michael R.'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Zalewski, Michael R.'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u""O'Connor, Patrick""",u'Committee on Education',2007-05-21,2011-05-16,
"u""O'Connor, Patrick""",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u""O'Connor, Patrick""",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Smith, Ed'",u'Committee on Aviation',2007-05-21,2011-11-30,
"u'Smith, Ed'",u'Committee on Budget and Government Operations',2007-05-21,2011-11-30,
"u'Smith, Ed'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-11-30,
"u'Smith, Ed'",u'Committee on Finance',2007-05-21,2011-11-30,
"u'Jackson, Sandi'",u'City Council',2007-05-21,2013-01-01,
"u'Jackson, Sandi'","u'Committee on Economic, Capital and Technology Development'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Committee on Health and Environmental Protection',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Committee on Housing and Real Estate',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Committee on Human Relations',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Committee on Public Safety',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Committee on Transportation and Public Way',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; License and Consumer Protection'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Economic, Capital and Technology Development; Special Events, Cultural Affairs and Recreation'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Finance; Health and Environmental Protection',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Finance; Housing and Real Estate',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection; Public Safety',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Health and Environmental Protection; License and Consumer Protection',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Housing and Real Estate; Human Relations',2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Human Relations; Public Safety',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: License and Consumer Protection; Transportation and Public Way',2007-05-21,2013-01-15,
"u'Jackson, Sandi'",u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way',2007-05-21,2013-01-15,
"u'Jackson, Sandi'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",2007-05-21,2013-01-15,
"u'Mell, Richard F.'",u'City Council',1975-04-18,2013-07-23,
"u'Mell, Richard F.'",u'Joint Committee: Aviation; Finance',2007-05-21,2013-07-23,
"u'Mell, Richard F.'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',2007-05-21,2013-07-23,
"u'Mell, Richard F.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2007-05-21,2013-07-23,
"u'Mell, Richard F.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',2007-05-21,2013-07-23,
"u'Mell, Richard F.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",2011-05-16,2013-07-23,
"u'Mell, Richard F.'","u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development'",2007-05-21,2013-07-23,
"u'Mell, Richard F.'","u'Joint Committee: Economic, Capital and Technology Development; Finance'",2007-05-21,2013-07-23,
"u'Mell, Richard F.'","u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards'",2007-05-21,2013-07-23,
"u'Mell, Richard F.'",u'Joint Committee: Education and Child Development; Finance',2007-05-21,2013-07-23,
